Wandsbeker Marktstr. 1, 22041 Hamburg
Gyula-Trebitsch-Platz 1, 22045 Hamburg
Schöneberger Str. 31-35, 22045 Hamburg
Tonndorfer Hauptstr. 71 - 81, 22045 Hamburg
Holsteinischer Kamp 53, 22081 Hamburg
Bachstr. 145/Herderstr. 46-52, 22083 Hamburg
Winterhuder Weg 62-68, 22085 Hamburg
Lübecker Str. 107, 22087 Hamburg
Hammer Steindamm 40-42, 22089 Hamburg
Rennbahnstr. 34A, 22111 Hamburg
Manshardtstraße 115 G, 22119 Hamburg
Schiffbeker Weg 230, 22119 Hamburg
Bargteheider Str. 83/87, 22143 Hamburg
Stapelfelder Str. 86-104, 22143 Hamburg
Hermann-Balk-Str. 117, 22147 Hamburg
Pezolddamm 161, 22175 Hamburg
Bramfelder Chaussee 230, 22177 Hamburg
Fabriciusstr. 1-5, 22177 Hamburg
Alsterdorfer Str. 255, 22297 Hamburg
Dorotheenstr. 116 - 122, 22301 Hamburg
Moorfuhrtweg 15, 22301 Hamburg
Jarrestr. 44, 22303 Hamburg
Krüsistraße 7, 22305 Hamburg
Fuhlsbüttler Str. 387, 22309 Hamburg
Erdkampsweg 43, 22335 Hamburg
Volksdorfer Damm 186, 22359 Hamburg
Heegbarg 31, 22391 Hamburg
Wellingsbuettler Markt 1, 22391 Hamburg
Stormarnplatz 2-6, 22393 Hamburg
Waldweg 43, 22393 Hamburg
Heegbarg 89d, 22395 Hamburg
Duvenstedter Damm 49-51, 22397 Hamburg
Poppenbütteler Chaussee 43-45, 22397 Hamburg
Langenhorner Chaussee 666, 22419 Hamburg
Glissmannweg 4, 22457 Hamburg
Paul-Sorge-Str./Tibarg 41-43, 22459 Hamburg
Tibarg 32, 22459 Hamburg
Alte Elbgaustr. 1, 22523 Hamburg
Arminiusstr. 2-4a/Kielerstr. 244, 22525 Hamburg
Kieler Str. 415, 22525 Hamburg
Kieler Str. 579, 22525 Hamburg
Grelckstr. 34, 22529 Hamburg
Troplowitzstr. 8, 22529 Hamburg
Kroonhorst 1-3, 22549 Hamburg
Rugenbarg 7, 22549 Hamburg
Wedeler Landstr. 16 - 18, 22559 Hamburg
Elbchaussee 576 - 578, 22587 Hamburg
Sülldorfer Kirchenweg 2 b, 22587 Hamburg
Op´n Hainholt 2b, 22589 Hamburg
Kalckreuthweg 90, 22607 Hamburg
Waitzstr. 1-3, 22607 Hamburg
Osdorfer Landstr. 131, 22609 Hamburg
Von-Sauer-Str. 11-13, 22761 Hamburg
Jürgen-Töpfer-Straße 18 a-f, 22763 Hamburg
Am Felde 58/ Museumstr., 22765 Hamburg
Barner Str. 44-46, 22765 Hamburg
Friedensallee 9, 22765 Hamburg
Stresemannstr. 197-221/Kielerstr. 1, 22769 Hamburg
Eppendorfer Weg 192, 20253 Hamburg
Hoheluftchaussee 23-25, 20253 Hamburg
Altonaer Str. 67/Amandastr., 20357 Hamburg
Brauerknechtgraben 47, 20459 Hamburg
Binnenfeldredder 38, 21031 Hamburg
Hannoversche Str. 86, 21079 Hamburg
Wilhelm-Strauß-Weg 2b-10, 21109 Hamburg
Rehrstieg 16-30, 21147 Hamburg
Walddörferstr. 146, 22041 Hamburg
Nordschleswiger Str. 68, 22049 Hamburg
Dehnhaide 57, 22081 Hamburg
Lorenzenweg 3, 22111 Hamburg
August-Krogmann-Str. 15, 22159 Hamburg
Nordalbinger Weg 23-31, 22455 Hamburg
Max-Brauer-Allee 59, 22765 Hamburg 50 (Altona)
Kieler Str. 101, 22769 Hamburg
Borsteler Chaussee 17-25, 22453 Hamburg
Sendlinger Straße 46, 80331 München
Augustenstr. 78, 80333 München
Karlstr. 36, 80333 München
Goethestr. 30 - 34, 80336 München
Ridlerstr. 37 - 39, 80339 München
Geyerstr. 44, 80469 München
Müllerstrasse 3, 80469 München
Nymphenburger Str. 166, 80634 München
Landshuter Allee 30, 80637 München
Friedenheimer Brücke 27, 80639 München
